geoid,2017_median_income,2017_population,2017_white_population,2017_black_population,2017_asian_population,2017_other_population,2017_2_or_more_races,cent_lon,cent_lat
36001000100,27250,1939,502,1142,16,112,167,-73.7363129,42.6689221
36001000200,24091,4731,710,3474,104,32,411,-73.75150390000002,42.664412899999995
36001000300,33454,5558,2589,1539,559,291,580,-73.7826791,42.68090479999999
36001000401,74255,2459,2183,131,92,28,25,-73.86488349999999,42.706314500000005
36001000403,70815,4695,3256,714,416,79,230,-73.8052761,42.676871899999995
36001000501,35663,3590,2128,1047,120,59,236,-73.78242790000002,42.670339399999996
36001000502,48409,3708,2660,560,279,108,101,-73.7867332,42.667008200000005
36001000600,26078,3764,1573,1263,418,281,229,-73.773647,42.664589299999996
36001000700,29955,3711,552,2893,30,75,161,-73.76632020000001,42.6702191
36001000800,17044,2176,413,1632,0,11,120,-73.7652144,42.6603638
36001001100,23036,1403,676,465,174,25,63,-73.750938,42.6524097
36001001400,43920,3877,2598,810,342,20,107,-73.76856,42.6565738
36001001500,32231,4551,3141,438,391,198,383,-73.7816778,42.657500299999995
36001001600,48333,4198,3249,271,374,43,261,-73.78952790000001,42.65863289999999
36001001700,62978,4476,3357,535,342,111,131,-73.79886579999999,42.6609261
36001001801,71106,7044,5605,640,532,176,91,-73.8180526,42.650211299999995
36001001802,62813,4195,3318,416,219,10,232,-73.8204195,42.6690192
36001001901,86809,2610,2007,254,138,94,117,-73.7922657,42.650638
36001001902,81616,2450,2052,248,56,0,94,-73.79637149999999,42.6449334
36001002000,40673,5949,2964,1251,876,147,711,-73.7849392,42.634773200000005
36001002100,49541,3550,1599,784,741,204,222,-73.77753659999999,42.6503316
36001002200,44583,2545,1576,500,288,45,136,-73.76548079999999,42.6504203
36001002300,30329,1895,711,984,15,50,135,-73.76355699999999,42.6452178
36001002500,18421,3140,420,2269,0,268,183,-73.7550157,42.641155499999996
36001002600,35611,5194,1161,3087,423,337,186,-73.7651868,42.63084979999999
36001012700,49118,2550,2265,133,116,0,36,-73.6877401,42.7701215
36001012800,37614,3858,3139,236,53,146,284,-73.7001603,42.7638714
36001012900,36944,3439,2905,189,15,17,313,-73.7076684,42.7825479
36001013000,60450,6727,6305,352,5,18,47,-73.7187683,42.774544299999995
36001013100,49875,2621,2356,104,112,0,49,-73.6925716,42.747418200000006
36001013200,36176,2954,2438,112,4,10,390,-73.7013792,42.7288037
36001013300,52410,4921,3527,844,302,91,157,-73.7106672,42.7310632
36001013400,50800,2326,2054,122,74,27,49,-73.7068628,42.7147116
36001013503,72900,5217,3985,253,747,49,183,-73.730088,42.7784609
36001013505,74286,2743,2396,55,268,0,24,-73.747702,42.737909
