MTFCC,OID,GEOID,STATE,COUNTY,TRACT,BASENAME,NAME,LSADC,FUNCSTAT,POP100,HU100,AREALAND,AREAWATER,UR,CENTLAT,CENTLON,INTPTLAT,INTPTLON
G5020,2.07907E+13,36001000100,36,1,100,1,Census Tract 1,CT,S,2139,910,2367412,245155,U,42.6689221,-73.7363129,42.6637001,-73.7369472
G5020,2.07907E+13,36001000200,36,1,200,2,Census Tract 2,CT,S,6046,3103,2065211,0,U,42.6644129,-73.7515039,42.6644129,-73.7515039
G5020,2.07907E+13,36001000300,36,1,300,3,Census Tract 3,CT,S,5888,3041,5781771,55326,U,42.6809048,-73.7826791,42.6806139,-73.7830038
G5020,2.07907E+13,36001000401,36,1,401,4.01,Census Tract 4.01,CT,S,2227,1074,9017994,134151,M,42.7063145,-73.8648835,42.7055639,-73.8648837
G5020,2.07907E+13,36001000403,36,1,403,4.03,Census Tract 4.03,CT,S,4415,2306,3136261,0,U,42.6768719,-73.8052761,42.6768719,-73.8052761
G5020,2.07907E+13,36001000404,36,1,404,4.04,Census Tract 4.04,CT,S,5203,13,1830761,84514,U,42.6899797,-73.8294682,42.6905365,-73.8283764
G5020,2.07907E+13,36001000501,36,1,501,5.01,Census Tract 5.01,CT,S,3412,1652,547290,0,U,42.6703394,-73.7824279,42.6703394,-73.7824279
G5020,2.07907E+13,36001000502,36,1,502,5.02,Census Tract 5.02,CT,S,3448,943,777449,0,U,42.6670082,-73.7867332,42.6670082,-73.7867332
G5020,2.07907E+13,36001000600,36,1,600,6,Census Tract 6,CT,S,3676,1708,506887,0,U,42.6645893,-73.773647,42.6645893,-73.773647
G5020,2.07907E+13,36001000700,36,1,700,7,Census Tract 7,CT,S,3821,1896,1583409,14749,U,42.6702191,-73.7663202,42.6690764,-73.763715
G5020,2.07907E+13,36001000800,36,1,800,8,Census Tract 8,CT,S,2393,1302,344413,0,U,42.6603638,-73.7652144,42.6603638,-73.7652144
G5020,2.07907E+13,36001001100,36,1,1100,11,Census Tract 11,CT,S,1169,812,1744037,254585,U,42.6524097,-73.750938,42.6525522,-73.7500591
G5020,2.07907E+13,36001001400,36,1,1400,14,Census Tract 14,CT,S,3560,2693,751968,25632,U,42.6565738,-73.76856,42.6559725,-73.7688498
G5020,2.07907E+13,36001001500,36,1,1500,15,Census Tract 15,CT,S,4606,2454,582401,0,U,42.6575003,-73.7816778,42.6575003,-73.7816778
G5020,2.07907E+13,36001001600,36,1,1600,16,Census Tract 16,CT,S,4273,1882,915225,0,U,42.6586329,-73.7895279,42.6586329,-73.7895279
G5020,2.07907E+13,36001001700,36,1,1700,17,Census Tract 17,CT,S,4021,1962,1367248,0,U,42.6609261,-73.7988658,42.6609261,-73.7988658
G5020,2.07907E+13,36001001801,36,1,1801,18.01,Census Tract 18.01,CT,S,6579,3394,8049529,20810,U,42.6502113,-73.8180526,42.6460368,-73.822119
