GEOID,TRACT,CENTLAT,CENTLON
36005000100,100,40.792777,-73.88359009999999
36005000200,200,40.805887299999995,-73.8600032
36005000400,400,40.8081646,-73.8506842
36005001600,1600,40.81884779999999,-73.8580764
36005001900,1900,40.8012428,-73.9095872
36005002000,2000,40.8175801,-73.8660962
36005002300,2300,40.8090843,-73.92584609999999
36005002400,2400,40.8150219,-73.8705095
36005002500,2500,40.8070029,-73.9208781
36005002701,2701,40.805051399999996,-73.9163293
36005002702,2702,40.8064374,-73.913737
36005002800,2800,40.8216128,-73.8782264
36005003100,3100,40.8098763,-73.9056946
36005003300,3300,40.8082226,-73.91192459999999
36005003500,3500,40.810965100000004,-73.9086696
36005003700,3700,40.8114424,-73.912187
36005003800,3800,40.8202946,-73.8633435
36005003900,3900,40.8097217,-73.9214264
36005004001,4001,40.8282719,-73.8583355
36005004100,4100,40.8113856,-73.9194099
36005004200,4200,40.823930700000005,-73.8620059
36005004300,4300,40.8136213,-73.91703759999999
36005004400,4400,40.8265305,-73.8663677
36005004600,4600,40.8224207,-73.8691745
36005004800,4800,40.82700429999999,-73.87432390000001
36005005001,5001,40.824996999999996,-73.8778533
36005005002,5002,40.8273629,-73.878435
36005005100,5100,40.813308,-73.92738220000001
36005005200,5200,40.825641600000004,-73.8824356
36005005300,5300,40.852212200000004,-73.921778
36005005400,5400,40.8298875,-73.8797806
36005005600,5600,40.832611799999995,-73.8790757
36005005902,5902,40.824086,-73.9234467
36005006000,6000,40.8377032,-73.8780437
36005006100,6100,40.8222516,-73.92266690000001
36005006200,6200,40.8332811,-73.8754495
36005006300,6300,40.8238902,-73.9282932
36005006400,6400,40.832964600000004,-73.87217009999999
36005006500,6500,40.8173917,-73.9216557
36005006700,6700,40.819502299999996,-73.9181767
36005006800,6800,40.82896029999999,-73.8705138
36005006900,6900,40.8218666,-73.9157567
36005007000,7000,40.8298152,-73.8656233
36005007100,7100,40.818220600000004,-73.912832
36005007200,7200,40.831045200000005,-73.8606985
36005007300,7300,40.8146752,-73.909389
36005007400,7400,40.8194734,-73.8528608
36005007500,7500,40.8187783,-73.9086255
36005007600,7600,40.8333737,-73.8676538
36005007700,7700,40.819733899999996,-73.90442309999999
36005007800,7800,40.8291526,-73.85280379999999
36005007900,7900,40.815792,-73.9048714
36005008300,8300,40.8136778,-73.90184
36005008400,8400,40.8156088,-73.8477354
36005008500,8500,40.816276200000004,-73.89908309999998
36005008600,8600,40.8198789,-73.849806
36005008700,8700,40.819672,-73.8972847
36005008900,8900,40.8185638,-73.893918
36005009000,9000,40.81476729999999,-73.8410806
36005009200,9200,40.8323343,-73.8521043
36005009300,9300,40.8056599,-73.8856787
36005009600,9600,40.83444,-73.8437619
36005009800,9800,40.8254412,-73.84951509999999
36005011000,11000,40.814640600000004,-73.8317832
36005011502,11502,40.819737200000006,-73.8860439
36005011700,11700,40.8090644,-73.8746569
36005011800,11800,40.809001200000004,-73.7976181
36005011900,11900,40.823290500000006,-73.88959840000001
36005012101,12101,40.8282767,-73.88887840000001
36005012102,12102,40.8260142,-73.8879213
36005012300,12300,40.8286411,-73.88745909999999
36005012500,12500,40.82864620000001,-73.89351640000001
36005012701,12701,40.8256393,-73.8923237
36005012901,12901,40.8226294,-73.89873399999999
36005013000,13000,40.8193055,-73.8147485
36005013100,13100,40.825953999999996,-73.8978818
36005013200,13200,40.8115669,-73.8193327
36005013300,13300,40.8228226,-73.903485
36005013500,13500,40.8271333,-73.9020964
36005013800,13800,40.8217445,-73.79458829999999
36005014100,14100,40.8237658,-73.9122955
36005014300,14300,40.8277474,-73.91212979999999
36005014400,14400,40.821237200000006,-73.82336690000001
36005014500,14500,40.831511,-73.9070316
36005014701,14701,40.8342262,-73.9053292
36005014702,14702,40.836535,-73.9043915
36005014900,14900,40.8326134,-73.90147809999999
36005015100,15100,40.831089299999995,-73.89847569999999
36005015200,15200,40.8262959,-73.8249969
36005015300,15300,40.8334461,-73.89413640000001
36005015500,15500,40.835595899999994,-73.8899678
36005015700,15700,40.8329807,-73.8854505
36005015800,15800,40.8248596,-73.818621
36005015900,15900,40.8223699,-73.89355690000001
36005016000,16000,40.831754700000005,-73.8033885
36005016100,16100,40.836881,-73.8850118
36005016200,16200,40.828850200000005,-73.8217593
36005016300,16300,40.8385749,-73.89500749999999
36005016400,16400,40.8321977,-73.8248492
36005016500,16500,40.8430508,-73.9002115
36005016600,16600,40.829407399999994,-73.830366
36005016700,16700,40.840486999999996,-73.9022078
36005016900,16900,40.8377899,-73.9027246
36005017100,17100,40.8403719,-73.9075096
36005017300,17300,40.826296,-73.9165227
36005017500,17500,40.8308225,-73.9136512
36005017701,17701,40.8331958,-73.91117740000001
36005017702,17702,40.8361778,-73.9095493
36005017901,17901,40.834835,-73.9151866
36005017902,17902,40.8370141,-73.91349890000001
36005018101,18101,40.831607399999996,-73.9161112
36005018102,18102,40.8322651,-73.9181383
36005018301,18301,40.8286371,-73.92081329999999
36005018302,18302,40.827911900000004,-73.91875209999999
36005018400,18400,40.8374214,-73.82930079999998
36005018500,18500,40.8267063,-73.90746779999999
36005018900,18900,40.8317422,-73.9301593
36005019300,19300,40.8363125,-73.929322
36005019400,19400,40.833420000000004,-73.83621090000001
36005019500,19500,40.8304775,-73.9225235
36005019700,19700,40.835204600000004,-73.9199777
36005019900,19900,40.8367451,-73.925441
36005020000,20000,40.8429687,-73.8455113
36005020100,20100,40.8420908,-73.9270027
36005020200,20200,40.8384912,-73.8475792
36005020400,20400,40.840856,-73.850871
